id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
41,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,349721.315,349801.215,79.90000000002328,442.37,358.84000000000003,375.72,123.63,16.879999999999995,46.00321108801687,10.618405078661159,367.64375537542753,26.86703424559802,566.0,49.881233871796134,367.81818322363415,124.77704636670961
42,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,350125.227,350177.231,52.00400000001537,583.31,379.42,384.58500000000004,108.61500000000001,5.1650000000000205,55.01171977920116,6.067944915405989,253.53664582203282,14.40324914008469,691.925,56.378234555553455,253.62364801890183,108.73773700974286
43,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,350841.386,350885.364,43.978000000002794,719.0450000000001,383.96500000000003,364.83,92.7299999999999,19.135000000000048,55.46514582660856,18.168230707483172,126.86580762349581,36.87232832407039,811.775,60.639436067963466,129.76310700180943,94.6836898573349
44,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,351701.114,351725.118,24.004000000015367,840.525,375.46000000000004,370.705,98.34500000000003,4.755000000000052,107.77771702472877,8.981196288538522,247.06247476492433,19.396787772346872,938.87,108.42439398604616,247.0650033317368,98.45988548642542
45,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,351921.114,351945.103,23.989000000001397,948.645,372.21500000000003,382.16999999999996,96.36999999999989,9.954999999999927,105.68624182336957,12.386307635153678,334.2040992330026,20.82606761316122,852.2750000000001,107.98505061039911,334.85236304432823,96.88281026580503
46,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,352381.215,352409.231,28.01600000000326,829.905,380.53499999999997,366.89,121.42000000000007,13.644999999999982,114.0204980729476,15.958242025106982,358.2578930346695,33.6809729882731,951.325,116.40259696304621,358.8634073741491,122.1842969656904
47,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,353221.057,353257.066,36.00900000002002,964.665,391.85,372.78,108.57999999999993,19.07000000000005,80.48023130043066,14.319285888580945,240.45441655763824,19.922802356003253,1073.245,84.54773416957158,240.46072960269382,110.24192169950588
48,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,353684.985,353732.999,48.01400000002468,1092.21,381.31,380.05999999999995,94.65999999999985,1.2500000000000568,54.00679207606797,8.798997709212056,190.680286578383,20.383065116999497,1186.87,57.647744401082484,190.68069469270944,94.66825286229789
49,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,354360.961,354400.954,39.993000000016764,1192.925,396.33500000000004,384.86,134.17499999999995,11.475000000000023,88.25921351289873,11.317388852135625,219.9948327560814,38.68140776905138,1327.1,90.07879561953499,220.73434541086428,134.66479216929713
50,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,354980.852,355020.867,40.01500000001397,1336.955,420.615,376.875,403.56999999999994,43.74000000000001,265.3214873731315,29.01097595099923,529.5980580080176,78.32372101849698,933.385,268.53037546725733,529.8966315709945,405.93340894782233
51,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,355168.865,355216.843,47.978000000002794,903.785,441.08000000000004,446.255,482.075,5.1749999999999545,264.33351270295185,8.364795084534025,498.14769309774437,24.47803207577626,421.71,264.5360513022592,498.701265195974,482.10277560910185
52,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,355340.801,355368.789,27.988000000012107,407.57500000000005,452.74,445.01,70.91500000000008,7.730000000000018,66.65502400320698,8.600410200410156,167.02737130207737,20.327474490878522,336.65999999999997,67.32520077071514,168.25976638299286,71.3350553725166
53,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,355740.564,355764.601,24.037000000011176,322.275,461.86,464.58,92.57500000000005,2.7199999999999704,101.31802707675776,3.4366107183244536,266.3893663470109,11.78772125196415,414.85,101.585886822733,266.3897083346137,92.61495033200639
